Barcelona;Belgrade;Berlin;Brussels;Bucharest;Budapest;Copenhagen;Dublin;Hamburg;Istanbul
0;1528.13;1497.61;1062.89;1968.42;1498.79;1757.54;1469.29;1471.78;2230.42
1528.13;0;999.25;1372.59;447.34;316.41;1327.24;2145.39;1229.93;809.48
1497.61;999.25;0;651.62;1293.40;689.06;354.03;1315.16;254.51;1735.01
1062.89;1372.59;651.62;0;1769.69;1131.52;766.67;773.20;489.76;2178.85
1968.42;447.34;1293.40;1769.69;0;639.77;1571.54;2534.72;1544.17;445.62
1498.79;316.41;689.06;1131.52;639.77;0;1011.31;1894.95;927.92;1064.76
1757.54;1327.24;354.03;766.67;1571.54;1011.31;0;1238.38;287.97;2017.17
1469.29;2145.39;1315.16;773.20;2534.72;1894.95;1238.38;0;1073.36;2950.11
1471.78;1229.93;254.51;489.76;1544.17;927.92;287.97;1073.36;0;1983.75
2230.42;809.48;1735.01;2178.85;445.62;1064.76;2017.17;2950.11;1983.75;0
